"rebalance_date","IC"
2014-06-30,0.0195749576541454
2014-07-31,0.058109048838018
2014-08-29,0.113825862339719
2014-09-30,0.0962316311521057
2014-10-31,0.186931547170798
2014-11-28,0.122550547802907
2014-12-31,0.201427213065078
2015-01-30,-0.0916549324513717
2015-02-27,0.0309902467193004
2015-03-31,-0.00326758019248583
2015-04-30,0.171460273433827
2015-05-29,0.154830999147376
2015-06-30,0.144078789350583
2015-07-31,0.061445273898599
2015-08-31,0.0346198107270337
2015-09-30,0.0894618188047447
2015-10-30,0.213894342936816
2015-11-30,0.166558552469039
2015-12-31,0.00424189578636235
2016-01-29,-0.177912466036561
2016-02-29,-0.151796418772909
2016-03-31,0.122691100833696
2016-04-29,0.287301695313106
2016-05-31,0.00517527068529713
2016-06-30,-0.180361616746056
